Column_Name,Min,Max,Mean,Standard_Deviation
ScheduledArrTime,1.0,2359.0,1652.851901347804,466.2215444478054
ScheduledDepTime,0.0,2359.0,1495.706741095052,420.0699891670055
ScheduledElapsedTime,0.0,1439.0,133.69324645410308,112.5492498296274
Distance,31.0,4502.0,755.0873302275392,571.7079265369949
DepTemperature,-38.224,44.228,11.89688803019637,10.75274244498249
DepWindSpeed,0.0,67.812,13.02623156875375,7.261159821052741
DepWindDirection,0.63657844,360.0,186.52692075961338,98.259633876231
DepPrecipitation,0.0,52.4,0.1436779796428683,0.6622070480070635
DepRain,0.0,52.4,0.1321366687768435,0.6532717887670307
DepSnowFall,0.0,3.2899997,0.00810361174982102,0.07989164670332836
ArrTemperature,-37.830498,44.328,12.740756413751551,10.665894860502318
ArrWindSpeed,0.0,67.812,13.319211222523618,7.376123171049879
ArrWindDirection,0.63657844,360.0,189.0036091102668,98.13379453068887
ArrPrecipitation,0.0,30.1,0.1400307120845828,0.6232553724137609
ArrRain,0.0,30.1,0.12923977215416013,0.6147780861837427
ArrSnowFall,0.0,3.2899997,0.007575301652227143,0.07474724960310382
Day,1.0,31.0,15.21535604229137,8.938759964501696
